hhid,rgid,villid,hhLocX,hhLocY,hhElev,hhLandOwn,hhLandPlant,areaCcfp,ifCcfp,ifCcfpO
1854,130,2,377259.817,3455348.707,671,8.188356,8.188356,0,0,0
1855,130,2,377385.9401,3455348.391,669,6.613023,2.653641,0,0,0
1856,130,2,377427.7204,3455294.545,669,3.135931,3.135931,0,0,0
1857,130,2,377400.0108,3455381.969,670,13.427337,12.163221,0,0,0
1858,128,2,377089.462,3455278.308,689,0.913741,0,0,0,0
1859,128,2,377063.0042,3455297.229,694,6.142793,2.16759,0,0,0
1860,128,2,377077.7502,3455345.47,694,5.661406,5.661406,0,0,0
1862,128,2,377038.317,3455257.589,694,4.324922,2.8046,0,0,0
1863,128,2,377030.7232,3455258.941,694,3.129036,0,0,0,0
1864,128,2,377060.5332,3455282.117,691,3.233441,3.233441,0,0,0
1865,128,2,377033.6183,3455235.862,691,8.876457,8.876457,0,0,0
1866,128,2,377051.7571,3455306.18,696,5.123012,5.123012,0,0,0
1867,128,2,377083.8608,3455298.916,696,4.678684,2.731401,0,0,0
1868,128,2,377070.1079,3455222.387,691,3.435719,3.435719,0,0,0
1869,128,2,377299.867,3455093.002,679,3.271634,3.271634,0,0,0
1870,128,2,376895.5074,3455195.329,715,8.882098,4.92736,0,0,0
1871,128,2,376852.8441,3455224.396,730,13.736591,10.132971,0,0,0
1872,128,2,376796.8444,3455181.232,730,0.494625,0.494625,0,0,0
1874,128,2,376496.6152,3455323.44,771,5.336558,5.336558,0,0,0
1875,128,2,376865.961,3455164.483,730,5.627519,0,0,0,0
1876,128,2,376475.399,3455380.027,771,3.643764,3.643764,0,0,0
1877,135,2,377214.7908,3455122.166,679,5.967764,0,0,0,0
1878,135,2,377076.3461,3455291.984,689,1.170734,1.170734,0,0,0
1879,135,2,377040.2743,3455259.084,686,9.619386,7.93008,0,0,0
1880,135,2,377023.1928,3455343.592,694,4.137245,4.137245,0,0,0
1881,135,2,377081.092,3455271.284,694,6.485727,5.369883,0,0,0
1882,135,2,377041.8597,3455228.433,691,6.131904,6.131904,0,0,0
1883,135,2,377065.0901,3455324.883,691,2.553934,2.553934,0,0,0
1884,135,2,377097.2731,3455264.503,689,8.720943,6.36539,0,0,0
1885,135,2,376997.1948,3455267.599,691,16.859259,7.255089,0,0,0
1886,135,2,377100.8063,3455297.782,691,3.329329,0,0,0,0
1887,135,2,377070.5502,3455268.495,696,10.086122,10.086122,0,0,0
1888,135,2,377130.1615,3455330.761,683,10.563274,4.49596,0,0,0
1889,135,2,377237.0446,3455316.649,666,5.84767,2.618205,0,0,0
1890,135,2,377094.0112,3455315.713,683,0.754597,0.754597,0,0,0
1891,135,2,377039.3999,3455272.992,691,3.702107,3.702107,0,0,0
1892,129,2,374044.6843,3456975.716,970,4.293864,3.0183,0,0,0
1894,129,2,374071.1106,3457022.469,961,2.138015,1.122125,1.396148762,1,1
1895,129,2,374403.9845,3457139.978,964,8.784278,7.833805,0,0,0
1896,129,2,374639.7518,3457088.392,955,0.831351,0.174906,0,0,0
1897,129,2,374407.8422,3457313.854,989,1.614855,1.614855,6.44757126,1,1
1898,129,2,374395.9562,3457172.949,962,6.534681,4.074921,0,0,0
1900,129,2,374562.5337,3457097.571,946,0,0,0,0,0
1901,129,2,374536.0697,3457160.479,948,2.165027,0.541134,0,0,0
1902,129,2,374307.2706,3457316.598,989,1.235408,0.624793,0,0,0
1903,129,2,377626.9083,3454874.514,672,1.477434,1.477434,0,0,0
1904,120,2,374975.4196,3454966.813,768,12.734059,12.734059,0,0,0
1905,120,2,374946.2219,3454802.244,781,9.550847,1.729224,10.72140675,1,1
1906,120,2,374891.2033,3454826.312,778,4.950799,0,0,0,0
1908,120,2,374923.5965,3454865.715,778,2.940631,0.506084,0,0,0
1909,120,2,374878.0107,3454773.547,778,5.603134,5.603134,0,0,0
1910,120,2,374990.5358,3455132.892,749,9.742685,6.112976,0,0,0
1911,120,2,374872.6739,3454821.47,781,1.180339,1.180339,0,0,0
1912,120,2,374941.0465,3454749.791,782,4.542238,4.542238,11.04391469,1,1
1913,120,2,374719.6164,3454803.467,796,0.369247,0.369247,0,0,0
1914,120,2,374714.9638,3454825.437,796,0.396607,0,0,0,0
1915,120,2,374736.1334,3454853.252,796,0,0,0,0,0
1916,120,2,374663.323,3454738.819,816,1.691694,1.021382,0,0,0
