plid,centerX,centerY,area,code,dry,elev,slope,aspect,twi,distCcfp,distEwfp,distEwfpO,hhid,rgid,villid,geoDist,ifCcfp,ifCcfpO
11250,374900.0762,3454906.102,1.170276,60,0,779,3.852,65.924,5.996,18.826386,17.278599,17.278599,1925,120,2,148.5008503,0,0
11286,375024.9269,3455568.572,0.548218,69,1,754,6.916,251.397,0.001,301.924552,0,0,1942,116,2,56.64000622,0,0
11287,375255.4448,3455649.505,0.639063,60,0,784,12.113,197.461,8.438,256.481654,0,0,1951,116,2,156.4486715,0,0
11288,376082.9737,3456261.625,0.901952,60,0,817,7.489,121.555,9.66,56.920709,7.499529,7.499529,1796,122,2,292.4861202,0,0
11289,375978.5464,3456110.878,0.438669,60,0,826,5.2,25.81,8.845,4.88099,23.50764,23.50764,1796,122,2,138.5027971,0,0
11290,376014.1687,3456210.253,0.980923,60,0,818,6.297,65.525,7.849,32.373714,9.293192,9.293192,1798,122,2,175.8242648,0,0
11291,376617.1092,3456103.224,1.332275,61,1,735,9.045,76.426,11.604,616.400797,3.85105,3.85105,1803,122,2,118.0744026,0,0
11292,376772.3848,3456100.191,0.844157,60,0,714,7.727,109.853,11.503,792.816336,30.801744,30.801744,1792,122,2,79.48574461,0,0
11293,376927.9263,3456026.071,0.983023,60,0,702,6.582,95.514,12.374,916.576326,37.218462,37.218462,1799,122,2,208.8468401,0,0
11294,376902.9633,3456031.422,0.975713,60,0,700,4.392,51.016,7.682,938.617007,11.912846,11.912846,1793,122,2,110.6826838,0,0
11295,377021.9075,3456467.259,0.988571,60,0,719,10.342,270.387,0.001,785.492378,23.919805,23.919805,1754,114,2,970.9997556,0,0
11296,376959.7224,3456625.156,0.606174,60,0,718,9.047,168.551,0.001,666.708647,1.907559,1.907559,1753,114,2,901.0705808,0,0
11297,377287.8484,3455120.206,0.691738,60,0,667,7.338,61.666,7.931,381.843532,57.011469,57.011469,1871,128,2,520.1959732,0,0
11298,377333.9195,3455029.372,1.101655,60,0,672,11.039,69.692,7.122,377.737448,8.369357,8.369357,1867,128,2,340.7215339,0,0
11299,377346.334,3454714.677,0.584108,60,0,692,9.183,54.368,8.938,421.369294,13.931529,13.931529,1891,135,2,588.8122866,0,0
11300,377560.8985,3455259.781,1.091354,60,0,666,4.116,173.861,6.513,239.320875,9.359007,9.359007,1816,122,2,203.7076091,0,0
11301,377372.8583,3455647.824,1.451751,60,0,681,3.897,210.527,5.996,564.019466,38.877297,38.877297,1774,117,2,142.8770799,0,0
11302,377316.4374,3455635.422,0.850899,60,0,679,3.515,227.222,7.309,605.601381,17.569913,17.569913,1781,117,2,219.2715886,0,0
11303,377662.7405,3456038.935,1.194653,60,0,691,3.679,156.731,11.228,624.980998,11.093004,11.093004,1670,123,2,290.3448597,0,0
11304,378066.6412,3456034.595,0.940414,60,0,705,2.304,273.344,5.76,440.5659,9.546601,9.546601,1629,124,2,208.7163753,0,0
11305,377777.0272,3455774.071,0.818864,60,0,681,2.406,127.63,0.001,351.662044,105.741322,105.741322,1620,124,2,272.9951133,0,0
11306,377277.7105,3453938.819,1.045359,69,0,676,3.49,87.922,0.001,413.391966,10.338945,10.338945,1499,126,2,122.8893247,0,0
11307,376972.6901,3454050.279,0.577234,60,0,689,10.892,193.587,0.001,361.864418,8.820519,8.820519,1503,126,2,128.6131543,1,1
11308,376594.3672,3454050.095,0.936898,60,0,690,5.869,175.034,8.714,345.392487,3.754827,3.754827,1487,126,2,117.0786792,1,1
11309,376462.65,3453986.263,0.660224,60,0,698,11.922,38.814,7.391,231.153446,2.994414,2.994414,1490,126,2,135.9044222,1,1
11310,377217.8619,3453857.751,0.749875,60,0,689,8.034,82.716,7.639,265.672519,0,0,1467,126,2,231.4313155,0,0
11311,377333.4287,3454004.497,0.677625,60,0,678,3.588,192.074,0.001,404.92871,0,0,1564,125,2,2957.877857,0,0
11312,377470.7613,3454308.482,1.077289,60,0,672,9.063,100.347,0.001,566.889243,6.547107,6.547107,1542,118,2,751.767895,0,0
11313,377948.4258,3454734.449,0.751382,60,0,654,1.673,210.914,0.001,240.637824,28.51703,28.51703,1551,118,2,259.3864911,0,0
11314,378128.8028,3455152.784,0.710563,60,0,686,4.25,242.833,9.496,2.837631,12.761439,12.761439,1419,127,2,24.45485125,0,0
11315,378197.0392,3455227.473,0.892781,60,0,699,4.446,223.187,7.9,160.52182,3.837016,3.837016,1458,133,2,717.5138733,0,0
11316,377842.7125,3455580.845,0.618967,60,0,685,1.347,178.137,11.221,146.765251,37.302476,37.302476,1625,124,2,288.5374176,0,0
11317,377519.2096,3455671.264,1.061785,60,0,675,9.274,125.333,6.453,474.707525,15.267761,15.267761,1784,117,2,562.7898814,0,0
11318,377372.6643,3455717.77,0.586346,60,0,685,3.272,176.873,6.505,566.441462,76.406181,76.406181,1762,117,2,125.8491389,0,0
11319,377541.1522,3455957.72,1.043556,60,0,692,6.977,169.413,8.487,623.336083,3.162131,3.162131,1670,123,2,221.8411165,0,0
11320,377722.4397,3456215.431,0.616367,60,0,719,11.487,203.408,6.785,789.701149,0,0,1665,119,2,139.2717041,0,0
